"Timestamp","What is the address of the property ? ","What is the price per Month","What is the link to the Property"
"2024/07/31 8:54:56 PM GMT+3","747 Geary Street, 747 Geary St, Oakland, CA 94609","$2,895","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2024/07/31 8:55:00 PM GMT+3","Parkmerced | 3711 19th Ave, San Francisco, CA","$2,810","https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/"
"2024/07/31 8:55:04 PM GMT+3","845 Sutter, 845 Sutter St APT 509, San Francisco, CA","$2,450","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/"
"2024/07/31 8:55:08 PM GMT+3","100 Van Ness, 100 Van Ness Ave #410, San Francisco, CA 94102","$2,940","https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/"
"2024/07/31 8:55:12 PM GMT+3","828 Franklin, 828 Franklin St #606, San Francisco, CA 94102","$2,395","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/"
"2024/07/31 8:55:16 PM GMT+3","923 Folsom, 923 Folsom St APT 506, San Francisco, CA 94107","$2,816","https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/"
"2024/07/31 8:55:20 PM GMT+3","Hanover Soma West, 1140 Harrison St #138, San Francisco, CA 94103","$2,974","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/"
"2024/07/31 8:55:24 PM GMT+3","Slate Residences, 911 Bryant St #102, San Francisco, CA 94103","$2,704","https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/"
"2024/07/31 8:55:28 PM GMT+3","NorthPoint Apartments, 2211 Stockton St, San Francisco, CA 94133","$2,810","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/"
"2024/07/31 8:55:32 PM GMT+3","The Landing | 1395 22nd St, San Francisco, CA","$2,798","https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/"
"2024/07/31 8:55:36 PM GMT+3","1350 Washington Street | 1350 Washington St, San Francisco, CA","$2,195","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/"
"2024/07/31 8:55:39 PM GMT+3","2775 Market St, 2775 Market St APT 102, San Francisco, CA 94114","$2,995","https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/"
